IDCODE,EXPERIMENT TYPE
1JFA,X-RAY DIFFRACTION
1JFB,X-RAY DIFFRACTION
1JFC,X-RAY DIFFRACTION
1JFD,X-RAY DIFFRACTION
1JFF,ELECTRON CRYSTALLOGRAPHY
1JFG,X-RAY DIFFRACTION
1JFH,X-RAY DIFFRACTION
1JFI,X-RAY DIFFRACTION
1JFJ,SOLUTION NMR
1JFK,SOLUTION NMR
1JFL,X-RAY DIFFRACTION
1JFM,X-RAY DIFFRACTION
1JFN,SOLUTION NMR
1JFP,SOLUTION NMR
1JFQ,X-RAY DIFFRACTION
1JFR,X-RAY DIFFRACTION
1JFS,X-RAY DIFFRACTION
1JFT,X-RAY DIFFRACTION
1JFU,X-RAY DIFFRACTION
1JFV,X-RAY DIFFRACTION
1JFW,SOLUTION NMR
1JFX,X-RAY DIFFRACTION
1JFZ,X-RAY DIFFRACTION
1JG0,X-RAY DIFFRACTION
1JG1,X-RAY DIFFRACTION
1JG2,X-RAY DIFFRACTION
1JG3,X-RAY DIFFRACTION
1JG4,X-RAY DIFFRACTION
1JG5,X-RAY DIFFRACTION
1JG6,X-RAY DIFFRACTION
1JG7,X-RAY DIFFRACTION
1JG8,X-RAY DIFFRACTION
1JG9,X-RAY DIFFRACTION
1JGC,X-RAY DIFFRACTION
1JGD,X-RAY DIFFRACTION
1JGE,X-RAY DIFFRACTION
1JGG,X-RAY DIFFRACTION
1JGI,X-RAY DIFFRACTION
1JGJ,X-RAY DIFFRACTION
1JGK,SOLUTION NMR
1JGL,X-RAY DIFFRACTION
1JGM,X-RAY DIFFRACTION
1JGN,SOLUTION NMR
1JGO,X-RAY DIFFRACTION
1JGP,X-RAY DIFFRACTION
1JGQ,X-RAY DIFFRACTION
1JGR,X-RAY DIFFRACTION
1JGS,X-RAY DIFFRACTION
1JGT,X-RAY DIFFRACTION
1JGU,X-RAY DIFFRACTION
1JGV,X-RAY DIFFRACTION
1JGW,X-RAY DIFFRACTION
1JGX,X-RAY DIFFRACTION
1JGY,X-RAY DIFFRACTION
1JGZ,X-RAY DIFFRACTION
1JH0,X-RAY DIFFRACTION
1JH1,X-RAY DIFFRACTION
1JH3,SOLUTION NMR
1JH4,SOLUTION NMR
1JH5,X-RAY DIFFRACTION
1JH6,X-RAY DIFFRACTION
1JH7,X-RAY DIFFRACTION
1JH8,X-RAY DIFFRACTION
1JH9,X-RAY DIFFRACTION
1JHA,X-RAY DIFFRACTION
1JHB,SOLUTION NMR
1JHC,X-RAY DIFFRACTION
1JHD,X-RAY DIFFRACTION
1JHE,X-RAY DIFFRACTION
1JHF,X-RAY DIFFRACTION
1JHG,X-RAY DIFFRACTION
1JHH,X-RAY DIFFRACTION
1JHI,SOLUTION NMR
1JHJ,X-RAY DIFFRACTION
1JHK,X-RAY DIFFRACTION
1JHL,X-RAY DIFFRACTION
1JHM,X-RAY DIFFRACTION
1JHN,X-RAY DIFFRACTION
1JHO,X-RAY DIFFRACTION
1JHP,X-RAY DIFFRACTION
1JHQ,X-RAY DIFFRACTION
1JHR,X-RAY DIFFRACTION
1JHS,X-RAY DIFFRACTION
1JHT,X-RAY DIFFRACTION
1JHU,X-RAY DIFFRACTION
1JHV,X-RAY DIFFRACTION
1JHW,X-RAY DIFFRACTION
1JHX,X-RAY DIFFRACTION
1JHY,X-RAY DIFFRACTION
1JHZ,X-RAY DIFFRACTION
1JI0,X-RAY DIFFRACTION
1JI1,X-RAY DIFFRACTION
1JI2,X-RAY DIFFRACTION
1JI3,X-RAY DIFFRACTION
1JI4,X-RAY DIFFRACTION
1JI5,X-RAY DIFFRACTION
1JI6,X-RAY DIFFRACTION
1JI7,X-RAY DIFFRACTION
1JI8,SOLUTION NMR
1JI9,SOLUTION NMR
1JIA,X-RAY DIFFRACTION
1JIB,X-RAY DIFFRACTION
1JIC,SOLUTION NMR
1JID,X-RAY DIFFRACTION
1JIE,X-RAY DIFFRACTION
1JIF,X-RAY DIFFRACTION
1JIG,X-RAY DIFFRACTION
1JIH,X-RAY DIFFRACTION
1JII,X-RAY DIFFRACTION
1JIJ,X-RAY DIFFRACTION
1JIK,X-RAY DIFFRACTION
1JIL,X-RAY DIFFRACTION
1JIM,X-RAY DIFFRACTION
1JIN,X-RAY DIFFRACTION
1JIO,X-RAY DIFFRACTION
1JIP,X-RAY DIFFRACTION
1JIQ,X-RAY DIFFRACTION
1JIR,X-RAY DIFFRACTION
1JIS,X-RAY DIFFRACTION
1JIT,X-RAY DIFFRACTION
1JIU,X-RAY DIFFRACTION
1JIV,X-RAY DIFFRACTION
1JIW,X-RAY DIFFRACTION
1JIX,X-RAY DIFFRACTION
1JIY,X-RAY DIFFRACTION
1JIZ,X-RAY DIFFRACTION
1JJ0,X-RAY DIFFRACTION
1JJ1,X-RAY DIFFRACTION
1JJ2,X-RAY DIFFRACTION
1JJ3,X-RAY DIFFRACTION
1JJ4,X-RAY DIFFRACTION
1JJ6,X-RAY DIFFRACTION
1JJ7,X-RAY DIFFRACTION
1JJ8,X-RAY DIFFRACTION
1JJ9,X-RAY DIFFRACTION
1JJA,X-RAY DIFFRACTION
1JJB,X-RAY DIFFRACTION
1JJC,X-RAY DIFFRACTION
1JJD,SOLUTION NMR
1JJE,X-RAY DIFFRACTION
1JJF,X-RAY DIFFRACTION
1JJG,SOLUTION NMR
1JJH,X-RAY DIFFRACTION
1JJI,X-RAY DIFFRACTION
1JJJ,SOLUTION NMR
1JJK,X-RAY DIFFRACTION
1JJO,X-RAY DIFFRACTION
1JJP,SOLUTION NMR
1JJR,SOLUTION NMR
1JJS,SOLUTION NMR
1JJT,X-RAY DIFFRACTION
1JJU,X-RAY DIFFRACTION
1JJV,X-RAY DIFFRACTION
1JJW,X-RAY DIFFRACTION
1JJX,SOLUTION NMR
1JJZ,SOLUTION NMR
1JK0,X-RAY DIFFRACTION
1JK1,X-RAY DIFFRACTION
1JK2,X-RAY DIFFRACTION
1JK3,X-RAY DIFFRACTION
1JK4,X-RAY DIFFRACTION
1JK6,X-RAY DIFFRACTION
1JK7,X-RAY DIFFRACTION
1JK8,X-RAY DIFFRACTION
1JK9,X-RAY DIFFRACTION
1JKA,X-RAY DIFFRACTION
1JKB,X-RAY DIFFRACTION
1JKC,X-RAY DIFFRACTION
1JKD,X-RAY DIFFRACTION
1JKE,X-RAY DIFFRACTION
1JKF,X-RAY DIFFRACTION
1JKG,X-RAY DIFFRACTION
1JKH,X-RAY DIFFRACTION
1JKI,X-RAY DIFFRACTION
1JKJ,X-RAY DIFFRACTION
1JKK,X-RAY DIFFRACTION
1JKL,X-RAY DIFFRACTION
1JKM,X-RAY DIFFRACTION
1JKN,SOLUTION NMR
1JKO,X-RAY DIFFRACTION
1JKP,X-RAY DIFFRACTION
1JKQ,X-RAY DIFFRACTION
1JKR,X-RAY DIFFRACTION
1JKS,X-RAY DIFFRACTION
1JKT,X-RAY DIFFRACTION
1JKU,X-RAY DIFFRACTION
1JKV,X-RAY DIFFRACTION
1JKW,X-RAY DIFFRACTION
1JKX,X-RAY DIFFRACTION
1JKY,X-RAY DIFFRACTION
1JKZ,SOLUTION NMR
1JL0,X-RAY DIFFRACTION
1JL1,X-RAY DIFFRACTION
1JL2,X-RAY DIFFRACTION
1JL3,X-RAY DIFFRACTION
1JL4,X-RAY DIFFRACTION
1JL5,X-RAY DIFFRACTION
1JL6,X-RAY DIFFRACTION
1JL7,X-RAY DIFFRACTION
1JL8,X-RAY DIFFRACTION
1JL9,X-RAY DIFFRACTION
1JLA,X-RAY DIFFRACTION
1JLB,X-RAY DIFFRACTION
1JLC,X-RAY DIFFRACTION
1JLD,X-RAY DIFFRACTION
1JLE,X-RAY DIFFRACTION
1JLF,X-RAY DIFFRACTION
1JLG,X-RAY DIFFRACTION
1JLH,X-RAY DIFFRACTION
1JLI,SOLUTION NMR
1JLJ,X-RAY DIFFRACTION
1JLK,X-RAY DIFFRACTION
1JLL,X-RAY DIFFRACTION
1JLM,X-RAY DIFFRACTION
1JLN,X-RAY DIFFRACTION
1JLO,SOLUTION NMR
1JLP,SOLUTION NMR
1JLQ,X-RAY DIFFRACTION
1JLR,X-RAY DIFFRACTION
1JLS,X-RAY DIFFRACTION
1JLT,X-RAY DIFFRACTION
1JLU,X-RAY DIFFRACTION
1JLV,X-RAY DIFFRACTION
1JLW,X-RAY DIFFRACTION
1JLX,X-RAY DIFFRACTION
1JLY,X-RAY DIFFRACTION
1JLZ,SOLUTION NMR
1JM0,X-RAY DIFFRACTION
1JM1,X-RAY DIFFRACTION
1JM4,SOLUTION NMR
1JM6,X-RAY DIFFRACTION
1JM7,SOLUTION NMR
1JMA,X-RAY DIFFRACTION
1JMB,X-RAY DIFFRACTION
1JMC,X-RAY DIFFRACTION
1JME,X-RAY DIFFRACTION
1JMF,X-RAY DIFFRACTION
1JMG,X-RAY DIFFRACTION
1JMH,X-RAY DIFFRACTION
1JMI,X-RAY DIFFRACTION
1JMJ,X-RAY DIFFRACTION
1JMK,X-RAY DIFFRACTION
1JML,X-RAY DIFFRACTION
1JMM,X-RAY DIFFRACTION
1JMN,SOLUTION NMR
1JMO,X-RAY DIFFRACTION
1JMP,SOLUTION NMR
1JMQ,SOLUTION NMR
1JMS,X-RAY DIFFRACTION
1JMT,X-RAY DIFFRACTION
1JMU,X-RAY DIFFRACTION
1JMV,X-RAY DIFFRACTION
1JMW,X-RAY DIFFRACTION
1JMX,X-RAY DIFFRACTION
1JMY,X-RAY DIFFRACTION
1JMZ,X-RAY DIFFRACTION
1JN0,X-RAY DIFFRACTION
1JN1,X-RAY DIFFRACTION
1JN2,X-RAY DIFFRACTION
1JN3,X-RAY DIFFRACTION
1JN4,X-RAY DIFFRACTION
1JN5,X-RAY DIFFRACTION
1JN6,X-RAY DIFFRACTION
1JN7,SOLUTION NMR
1JN9,X-RAY DIFFRACTION
1JNB,X-RAY DIFFRACTION
1JND,X-RAY DIFFRACTION
1JNE,X-RAY DIFFRACTION
1JNF,X-RAY DIFFRACTION
1JNH,X-RAY DIFFRACTION
1JNI,X-RAY DIFFRACTION
1JNJ,SOLUTION NMR
1JNK,X-RAY DIFFRACTION
1JNL,X-RAY DIFFRACTION
1JNM,X-RAY DIFFRACTION
1JNN,X-RAY DIFFRACTION
1JNO,SOLUTION NMR
1JNP,X-RAY DIFFRACTION
1JNQ,X-RAY DIFFRACTION
1JNR,X-RAY DIFFRACTION
1JNS,SOLUTION NMR
1JNT,SOLUTION NMR
1JNU,X-RAY DIFFRACTION
1JNV,X-RAY DIFFRACTION
1JNW,X-RAY DIFFRACTION
1JNX,X-RAY DIFFRACTION
1JNY,X-RAY DIFFRACTION
1JNZ,X-RAY DIFFRACTION
1JO0,X-RAY DIFFRACTION
1JO1,SOLUTION NMR
1JO2,X-RAY DIFFRACTION
1JO3,SOLUTION NMR
1JO4,SOLUTION NMR
1JO5,SOLUTION NMR
1JO6,SOLUTION NMR
1JO7,SOLUTION NMR
1JO8,X-RAY DIFFRACTION
1JOA,X-RAY DIFFRACTION
1JOB,X-RAY DIFFRACTION
1JOC,X-RAY DIFFRACTION
1JOD,X-RAY DIFFRACTION
1JOE,X-RAY DIFFRACTION
1JOF,X-RAY DIFFRACTION
1JOG,X-RAY DIFFRACTION
1JOH,X-RAY DIFFRACTION
1JOI,X-RAY DIFFRACTION
1JOJ,X-RAY DIFFRACTION
1JOK,SOLUTION NMR
1JOL,X-RAY DIFFRACTION
1JOM,X-RAY DIFFRACTION
1JON,X-RAY DIFFRACTION
1JOO,SOLUTION NMR
1JOP,X-RAY DIFFRACTION
1JOQ,SOLUTION NMR
1JOR,SOLUTION NMR
1JOS,X-RAY DIFFRACTION
1JOT,X-RAY DIFFRACTION
1JOU,X-RAY DIFFRACTION
1JOV,X-RAY DIFFRACTION
1JOW,X-RAY DIFFRACTION
1JOX,SOLUTION NMR
1JOY,SOLUTION NMR
1JP0,SOLUTION NMR
1JP3,X-RAY DIFFRACTION
1JP4,X-RAY DIFFRACTION
1JP5,X-RAY DIFFRACTION
1JP6,X-RAY DIFFRACTION
1JP7,X-RAY DIFFRACTION
1JP8,X-RAY DIFFRACTION
1JP9,X-RAY DIFFRACTION
1JPA,X-RAY DIFFRACTION
1JPB,X-RAY DIFFRACTION
1JPC,X-RAY DIFFRACTION
1JPD,X-RAY DIFFRACTION
1JPE,X-RAY DIFFRACTION
1JPF,X-RAY DIFFRACTION
1JPG,X-RAY DIFFRACTION
1JPH,X-RAY DIFFRACTION
1JPI,X-RAY DIFFRACTION
1JPJ,X-RAY DIFFRACTION
1JPK,X-RAY DIFFRACTION
1JPL,X-RAY DIFFRACTION
1JPM,X-RAY DIFFRACTION
1JPN,X-RAY DIFFRACTION
1JPO,X-RAY DIFFRACTION
1JPP,X-RAY DIFFRACTION
1JPQ,X-RAY DIFFRACTION
1JPR,X-RAY DIFFRACTION
1JPS,X-RAY DIFFRACTION
1JPT,X-RAY DIFFRACTION
1JPU,X-RAY DIFFRACTION
1JPV,X-RAY DIFFRACTION
1JPW,X-RAY DIFFRACTION
1JPX,X-RAY DIFFRACTION
1JPY,X-RAY DIFFRACTION
1JPZ,X-RAY DIFFRACTION
1JQ0,X-RAY DIFFRACTION
1JQ1,SOLUTION NMR
1JQ2,SOLUTION NMR
1JQ3,X-RAY DIFFRACTION
1JQ4,SOLUTION NMR
1JQ5,X-RAY DIFFRACTION
1JQ6,X-RAY DIFFRACTION
1JQ7,X-RAY DIFFRACTION
1JQ8,X-RAY DIFFRACTION
1JQ9,X-RAY DIFFRACTION
1JQA,X-RAY DIFFRACTION
1JQB,X-RAY DIFFRACTION
1JQC,X-RAY DIFFRACTION
1JQD,X-RAY DIFFRACTION
1JQE,X-RAY DIFFRACTION
1JQF,X-RAY DIFFRACTION
1JQG,X-RAY DIFFRACTION
1JQH,X-RAY DIFFRACTION
1JQI,X-RAY DIFFRACTION
1JQJ,X-RAY DIFFRACTION
1JQK,X-RAY DIFFRACTION
1JQL,X-RAY DIFFRACTION
1JQM,ELECTRON MICROSCOPY
1JQN,X-RAY DIFFRACTION
1JQO,X-RAY DIFFRACTION
1JQP,X-RAY DIFFRACTION
1JQQ,X-RAY DIFFRACTION
1JQR,SOLUTION NMR
1JQS,ELECTRON MICROSCOPY
1JQT,ELECTRON MICROSCOPY
1JQU,X-RAY DIFFRACTION
1JQV,X-RAY DIFFRACTION
1JQW,X-RAY DIFFRACTION
1JQX,X-RAY DIFFRACTION
1JQY,X-RAY DIFFRACTION
1JQZ,X-RAY DIFFRACTION
1JR0,X-RAY DIFFRACTION
1JR1,X-RAY DIFFRACTION
1JR2,X-RAY DIFFRACTION
1JR3,X-RAY DIFFRACTION
1JR4,X-RAY DIFFRACTION
1JR5,SOLUTION NMR
1JR6,SOLUTION NMR
1JR7,X-RAY DIFFRACTION
1JR8,X-RAY DIFFRACTION
1JR9,X-RAY DIFFRACTION
1JRA,X-RAY DIFFRACTION
1JRB,X-RAY DIFFRACTION
1JRC,X-RAY DIFFRACTION
1JRE,X-RAY DIFFRACTION
1JRF,SOLUTION NMR
1JRG,X-RAY DIFFRACTION
1JRH,X-RAY DIFFRACTION
1JRI,X-RAY DIFFRACTION
1JRJ,SOLUTION NMR
1JRK,X-RAY DIFFRACTION
1JRL,X-RAY DIFFRACTION
1JRM,SOLUTION NMR
1JRN,X-RAY DIFFRACTION
1JRO,X-RAY DIFFRACTION
1JRP,X-RAY DIFFRACTION
1JRQ,X-RAY DIFFRACTION
1JRR,X-RAY DIFFRACTION
1JRS,X-RAY DIFFRACTION
1JRT,X-RAY DIFFRACTION
1JRU,SOLUTION NMR
1JRV,SOLUTION NMR
1JRW,SOLUTION NMR
1JRX,X-RAY DIFFRACTION
1JRY,X-RAY DIFFRACTION
1JRZ,X-RAY DIFFRACTION
1JS0,X-RAY DIFFRACTION
1JS1,X-RAY DIFFRACTION
1JS2,X-RAY DIFFRACTION
1JS3,X-RAY DIFFRACTION
1JS4,X-RAY DIFFRACTION
1JS5,SOLUTION NMR
1JS6,X-RAY DIFFRACTION
1JS7,SOLUTION NMR
1JS8,X-RAY DIFFRACTION
1JS9,X-RAY DIFFRACTION
1JSA,SOLUTION NMR
1JSC,X-RAY DIFFRACTION
1JSD,X-RAY DIFFRACTION
1JSE,X-RAY DIFFRACTION
1JSF,X-RAY DIFFRACTION
1JSG,X-RAY DIFFRACTION
1JSH,X-RAY DIFFRACTION
1JSI,X-RAY DIFFRACTION
1JSL,X-RAY DIFFRACTION
1JSM,X-RAY DIFFRACTION
1JSN,X-RAY DIFFRACTION
1JSO,X-RAY DIFFRACTION
1JSP,SOLUTION NMR
1JSR,X-RAY DIFFRACTION
1JSS,X-RAY DIFFRACTION
1JST,X-RAY DIFFRACTION
1JSU,X-RAY DIFFRACTION
1JSV,X-RAY DIFFRACTION
1JSW,X-RAY DIFFRACTION
1JSX,X-RAY DIFFRACTION
1JSY,X-RAY DIFFRACTION
1JSZ,X-RAY DIFFRACTION
1JT0,X-RAY DIFFRACTION
1JT1,X-RAY DIFFRACTION
1JT2,X-RAY DIFFRACTION
1JT3,X-RAY DIFFRACTION
1JT4,X-RAY DIFFRACTION
1JT5,X-RAY DIFFRACTION
1JT6,X-RAY DIFFRACTION
1JT7,X-RAY DIFFRACTION
1JT8,SOLUTION NMR
1JT9,X-RAY DIFFRACTION
1JTA,X-RAY DIFFRACTION
1JTB,SOLUTION NMR
1JTC,X-RAY DIFFRACTION
1JTD,X-RAY DIFFRACTION
1JTE,X-RAY DIFFRACTION
1JTF,X-RAY DIFFRACTION
1JTG,X-RAY DIFFRACTION
1JTH,X-RAY DIFFRACTION
1JTI,X-RAY DIFFRACTION
1JTJ,SOLUTION NMR
1JTK,X-RAY DIFFRACTION
1JTL,X-RAY DIFFRACTION
1JTM,X-RAY DIFFRACTION
1JTN,X-RAY DIFFRACTION
1JTO,X-RAY DIFFRACTION
1JTP,X-RAY DIFFRACTION
1JTQ,X-RAY DIFFRACTION
1JTS,X-RAY DIFFRACTION
1JTT,X-RAY DIFFRACTION
1JTU,X-RAY DIFFRACTION
1JTV,X-RAY DIFFRACTION
1JTW,SOLUTION NMR
1JTX,X-RAY DIFFRACTION
1JTY,X-RAY DIFFRACTION
1JTZ,X-RAY DIFFRACTION
1JU0,SOLUTION NMR
1JU1,SOLUTION NMR
1JU2,X-RAY DIFFRACTION
1JU3,X-RAY DIFFRACTION
1JU4,X-RAY DIFFRACTION
1JU5,SOLUTION NMR
1JU6,X-RAY DIFFRACTION
1JU7,SOLUTION NMR
1JU8,SOLUTION NMR
1JU9,X-RAY DIFFRACTION
1JUA,SOLUTION NMR
1JUB,X-RAY DIFFRACTION
1JUC,X-RAY DIFFRACTION
1JUD,X-RAY DIFFRACTION
1JUE,X-RAY DIFFRACTION
1JUF,X-RAY DIFFRACTION
1JUG,X-RAY DIFFRACTION
1JUH,X-RAY DIFFRACTION
1JUI,X-RAY DIFFRACTION
1JUJ,X-RAY DIFFRACTION
1JUK,X-RAY DIFFRACTION
1JUL,X-RAY DIFFRACTION
1JUM,X-RAY DIFFRACTION
1JUN,SOLUTION NMR
1JUO,X-RAY DIFFRACTION
1JUP,X-RAY DIFFRACTION
1JUQ,X-RAY DIFFRACTION
1JUR,SOLUTION NMR
1JUS,X-RAY DIFFRACTION
1JUT,X-RAY DIFFRACTION
1JUU,SOLUTION NMR
1JUV,X-RAY DIFFRACTION
1JUX,X-RAY DIFFRACTION
1JUY,X-RAY DIFFRACTION
1JV0,X-RAY DIFFRACTION
1JV1,X-RAY DIFFRACTION
1JV2,X-RAY DIFFRACTION
1JV3,X-RAY DIFFRACTION
1JV4,X-RAY DIFFRACTION
1JV5,X-RAY DIFFRACTION
1JV6,X-RAY DIFFRACTION
1JV7,X-RAY DIFFRACTION
1JV8,SOLUTION NMR
1JV9,SOLUTION NMR
1JVA,X-RAY DIFFRACTION
1JVB,X-RAY DIFFRACTION
1JVC,SOLUTION NMR
1JVD,X-RAY DIFFRACTION
1JVE,SOLUTION NMR
1JVG,X-RAY DIFFRACTION
1JVI,X-RAY DIFFRACTION
1JVJ,X-RAY DIFFRACTION
1JVK,X-RAY DIFFRACTION
1JVL,X-RAY DIFFRACTION
1JVM,X-RAY DIFFRACTION
1JVN,X-RAY DIFFRACTION
1JVO,X-RAY DIFFRACTION
1JVP,X-RAY DIFFRACTION
1JVQ,X-RAY DIFFRACTION
1JVR,SOLUTION NMR
1JVS,X-RAY DIFFRACTION
1JVT,X-RAY DIFFRACTION
1JVU,X-RAY DIFFRACTION
1JVV,X-RAY DIFFRACTION
1JVW,X-RAY DIFFRACTION
1JVX,X-RAY DIFFRACTION
1JVY,X-RAY DIFFRACTION
1JVZ,X-RAY DIFFRACTION
1JW0,X-RAY DIFFRACTION
1JW1,X-RAY DIFFRACTION
1JW2,SOLUTION NMR
1JW3,SOLUTION NMR
1JW4,X-RAY DIFFRACTION
1JW5,X-RAY DIFFRACTION
1JW6,X-RAY DIFFRACTION
1JW8,X-RAY DIFFRACTION
1JW9,X-RAY DIFFRACTION
1JWA,X-RAY DIFFRACTION
1JWB,X-RAY DIFFRACTION
1JWC,SOLUTION NMR
1JWD,SOLUTION NMR
1JWE,SOLUTION NMR
1JWF,X-RAY DIFFRACTION
1JWG,X-RAY DIFFRACTION
1JWH,X-RAY DIFFRACTION
1JWI,X-RAY DIFFRACTION
1JWJ,X-RAY DIFFRACTION
1JWK,X-RAY DIFFRACTION
1JWL,X-RAY DIFFRACTION
1JWM,X-RAY DIFFRACTION
1JWN,X-RAY DIFFRACTION
1JWO,X-RAY DIFFRACTION
1JWP,X-RAY DIFFRACTION
1JWQ,X-RAY DIFFRACTION
1JWR,X-RAY DIFFRACTION
1JWS,X-RAY DIFFRACTION
1JWT,X-RAY DIFFRACTION
1JWU,X-RAY DIFFRACTION
1JWV,X-RAY DIFFRACTION
1JWW,SOLUTION NMR
1JWX,X-RAY DIFFRACTION
1JWY,X-RAY DIFFRACTION
1JWZ,X-RAY DIFFRACTION
1JX0,X-RAY DIFFRACTION
1JX1,X-RAY DIFFRACTION
1JX2,X-RAY DIFFRACTION
1JX4,X-RAY DIFFRACTION
1JX6,X-RAY DIFFRACTION
1JX7,X-RAY DIFFRACTION
1JX9,X-RAY DIFFRACTION
1JXA,X-RAY DIFFRACTION
1JXB,X-RAY DIFFRACTION
1JXC,SOLUTION NMR
1JXD,SOLUTION NMR
1JXE,X-RAY DIFFRACTION
1JXF,SOLUTION NMR
1JXG,X-RAY DIFFRACTION
1JXH,X-RAY DIFFRACTION
1JXI,X-RAY DIFFRACTION
1JXJ,X-RAY DIFFRACTION
1JXK,X-RAY DIFFRACTION
1JXL,X-RAY DIFFRACTION
1JXM,X-RAY DIFFRACTION
1JXN,X-RAY DIFFRACTION
1JXO,X-RAY DIFFRACTION
1JXP,X-RAY DIFFRACTION
1JXQ,X-RAY DIFFRACTION
1JXS,SOLUTION NMR
1JXT,X-RAY DIFFRACTION
1JXU,X-RAY DIFFRACTION
1JXV,X-RAY DIFFRACTION
1JXW,X-RAY DIFFRACTION
1JXX,X-RAY DIFFRACTION
1JXY,X-RAY DIFFRACTION
1JXZ,X-RAY DIFFRACTION
1JY0,X-RAY DIFFRACTION
1JY1,X-RAY DIFFRACTION
1JY2,X-RAY DIFFRACTION
1JY3,X-RAY DIFFRACTION
1JY4,SOLUTION NMR
1JY5,X-RAY DIFFRACTION
1JY6,SOLUTION NMR
1JY7,X-RAY DIFFRACTION
1JY8,X-RAY DIFFRACTION
1JY9,SOLUTION NMR
1JYA,X-RAY DIFFRACTION
1JYB,X-RAY DIFFRACTION
1JYC,X-RAY DIFFRACTION
1JYD,X-RAY DIFFRACTION
1JYE,X-RAY DIFFRACTION
1JYF,X-RAY DIFFRACTION
1JYH,X-RAY DIFFRACTION
1JYI,X-RAY DIFFRACTION
1JYJ,X-RAY DIFFRACTION
1JYK,X-RAY DIFFRACTION
1JYL,X-RAY DIFFRACTION
1JYM,X-RAY DIFFRACTION
1JYN,X-RAY DIFFRACTION
1JYO,X-RAY DIFFRACTION
1JYQ,X-RAY DIFFRACTION
1JYR,X-RAY DIFFRACTION
1JYS,X-RAY DIFFRACTION
1JYT,SOLUTION NMR
1JYU,X-RAY DIFFRACTION
1JYV,X-RAY DIFFRACTION
1JYW,X-RAY DIFFRACTION
1JYX,X-RAY DIFFRACTION
1JZ2,X-RAY DIFFRACTION
1JZ3,X-RAY DIFFRACTION
1JZ4,X-RAY DIFFRACTION
1JZ5,X-RAY DIFFRACTION
1JZ6,X-RAY DIFFRACTION
1JZ7,X-RAY DIFFRACTION
1JZ8,X-RAY DIFFRACTION
1JZA,X-RAY DIFFRACTION
1JZB,X-RAY DIFFRACTION
1JZC,SOLUTION NMR
1JZD,X-RAY DIFFRACTION
1JZE,X-RAY DIFFRACTION
1JZF,X-RAY DIFFRACTION
1JZG,X-RAY DIFFRACTION
1JZH,X-RAY DIFFRACTION
1JZI,X-RAY DIFFRACTION
1JZJ,X-RAY DIFFRACTION
1JZK,X-RAY DIFFRACTION
1JZL,X-RAY DIFFRACTION
1JZM,X-RAY DIFFRACTION
1JZN,X-RAY DIFFRACTION
1JZO,X-RAY DIFFRACTION
1JZP,SOLUTION NMR
1JZQ,X-RAY DIFFRACTION
1JZR,X-RAY DIFFRACTION
1JZS,X-RAY DIFFRACTION
1JZT,X-RAY DIFFRACTION
1JZU,SOLUTION NMR
1JZV,X-RAY DIFFRACTION
1JZW,X-RAY DIFFRACTION
1JZX,X-RAY DIFFRACTION
1JZY,X-RAY DIFFRACTION
1JZZ,X-RAY DIFFRACTION
1K01,X-RAY DIFFRACTION
1K02,X-RAY DIFFRACTION
1K03,X-RAY DIFFRACTION
1K04,X-RAY DIFFRACTION
1K05,X-RAY DIFFRACTION
1K06,X-RAY DIFFRACTION
1K07,X-RAY DIFFRACTION
1K08,X-RAY DIFFRACTION
1K09,SOLUTION NMR
1K0A,X-RAY DIFFRACTION
1K0B,X-RAY DIFFRACTION
1K0C,X-RAY DIFFRACTION
1K0D,X-RAY DIFFRACTION
1K0E,X-RAY DIFFRACTION
1K0F,X-RAY DIFFRACTION
1K0G,X-RAY DIFFRACTION
1K0H,SOLUTION NMR
1K0I,X-RAY DIFFRACTION
1K0J,X-RAY DIFFRACTION
1K0K,X-RAY DIFFRACTION
1K0L,X-RAY DIFFRACTION
1K0M,X-RAY DIFFRACTION
1K0N,X-RAY DIFFRACTION
1K0O,X-RAY DIFFRACTION
1K0P,SOLUTION NMR
1K0R,X-RAY DIFFRACTION
1K0S,SOLUTION NMR
1K0T,SOLUTION NMR
1K0U,X-RAY DIFFRACTION
1K0V,SOLUTION NMR
1K0W,X-RAY DIFFRACTION
1K0X,SOLUTION NMR
1K0Y,X-RAY DIFFRACTION
1K0Z,X-RAY DIFFRACTION
1K12,X-RAY DIFFRACTION
1K18,SOLUTION NMR
1K19,SOLUTION NMR
1K1A,X-RAY DIFFRACTION
1K1B,X-RAY DIFFRACTION
1K1C,SOLUTION NMR
1K1D,X-RAY DIFFRACTION
1K1E,X-RAY DIFFRACTION
1K1F,X-RAY DIFFRACTION
1K1G,SOLUTION NMR
1K1H,SOLUTION NMR
1K1I,X-RAY DIFFRACTION
1K1J,X-RAY DIFFRACTION
1K1K,X-RAY DIFFRACTION
1K1L,X-RAY DIFFRACTION
1K1M,X-RAY DIFFRACTION
1K1N,X-RAY DIFFRACTION
1K1O,X-RAY DIFFRACTION
1K1P,X-RAY DIFFRACTION
1K1Q,X-RAY DIFFRACTION
1K1R,SOLUTION NMR
1K1S,X-RAY DIFFRACTION
1K1T,X-RAY DIFFRACTION
1K1U,X-RAY DIFFRACTION
1K1V,SOLUTION NMR
1K1W,X-RAY DIFFRACTION
1K1X,X-RAY DIFFRACTION
1K1Y,X-RAY DIFFRACTION
